char_1,char_2
Hannah Abbott,Albus Dumbledore
Hannah Abbott,Alecto Carrow
Hannah Abbott,Alicia Spinnet
Hannah Abbott,Amycus Carrow
Hannah Abbott,Angelina Johnson
Hannah Abbott,Augusta Longbottom
Hannah Abbott,Barty Crouch Jr.
Hannah Abbott,Cedric Diggory
Hannah Abbott,Cho Chang
Hannah Abbott,Colin Creevey
Hannah Abbott,Dean Thomas
Hannah Abbott,Dolores Umbridge
Hannah Abbott,Draco Malfoy
Hannah Abbott,Ernie Macmillan
Hannah Abbott,Fat Friar
Hannah Abbott,Fred Weasley
Hannah Abbott,George Weasley
Hannah Abbott,Gregory Goyle
Hannah Abbott,Harry Potter
Hannah Abbott,Hermione Granger
Hannah Abbott,Irma Pince
Hannah Abbott,Justin Finch-Fletchley
Hannah Abbott,Katie Bell
Hannah Abbott,Lee Jordan
Hannah Abbott,Luna Lovegood
Hannah Abbott,Neville Longbottom
Hannah Abbott,Parvati Patil
Hannah Abbott,Pomona Sprout
Hannah Abbott,Poppy Pomfrey
Hannah Abbott,Ron Weasley
Hannah Abbott,Seamus Finnigan
Hannah Abbott,Severus Snape
Hannah Abbott,Sirius Black
Hannah Abbott,Susan Bones
Hannah Abbott,Vincent Crabbe
Hannah Abbott,Zacharias Smith
Ludo Bagman,"Alaster ""Mad-Eye"" Moody"
Ludo Bagman,Augustus Rookwood
Ludo Bagman,Barty Crouch Jr.
Ludo Bagman,Barty Crouch Sr.
Ludo Bagman,Cedric Diggory
Ludo Bagman,Cornelius Fudge
Ludo Bagman,Harry Potter
Ludo Bagman,Hermione Granger
Ludo Bagman,Lee Jordan
Ludo Bagman,Rita Skeeter
Ludo Bagman,Viktor Krum
Lavender Brown,"Alaster ""Mad-Eye"" Moody"
Lavender Brown,Albus Dumbledore
Lavender Brown,Alicia Spinnet
Lavender Brown,Angelina Johnson
Lavender Brown,Barty Crouch Jr.
Lavender Brown,Cedric Diggory
Lavender Brown,Cho Chang
Lavender Brown,Cormac McLaggen
Lavender Brown,Cuthbert Binns
Lavender Brown,Dean Thomas
Lavender Brown,Dolores Umbridge
